,short_description,category,gpt_gen_category
0,"The actor discussed his new movie, ageism, playing villains and working with directors like Martin Scorsese and David Lynch.",ENTERTAINMENT, ENTERTAINMENT
1,One of the most interesting things about Ziad Doueiri's The Attack is the retrospection. The film is based on a novel by,ENTERTAINMENT, ENTERTAINMENT
2,"The reason Dewey Decibel's rhymes go hard in the paint is because the MC is always equipped with a brush. The main draw of the video for ""Cappuccino"" - from his upcoming A Different Drum EP - is to see the creations of the Philadelphia rapper/illustrator in live action.",ENTERTAINMENT, ENTERTAINMENT
3,"Chrissy Teigen is challenging Instagram's nudity policy again, this time with a nude photo of her husband John Legend.   Teigen",ENTERTAINMENT, ENTERTAINMENT
4,Beyonce is wasting no time in incorporating her new album into her tour's setlist. After electrifying the Internet by dropping,ENTERTAINMENT, ENTERTAINMENT
5,The singer also revealed some of the songs on her new album are inspired by her experiences with body-shamers.,ENTERTAINMENT, ENTERTAINMENT
6,The band claims the hotel is falsely leading consumers to believe there is a connection to the hit song.,ENTERTAINMENT, ENTERTAINMENT
7,I'm grateful for the ways the book and film versions of The Silver Linings Playbook have furthered the mental health conversation. All the real-life Pats and Tiffanys out there need to know that no one has to be alone in life and silver linings do exist.,ENTERTAINMENT, ENTERTAINMENT
8,A sign of an exceptional actress: as she walked up the Red Carpet to the opening ceremony of the Marrakech International,ENTERTAINMENT, ENTERTAINMENT
9,"""Rainbow,"" the pop artist's first full-length album since 2012, represents a major move forward both personally and musically.",ENTERTAINMENT, ENTERTAINMENT
10,"It's time for some Pretty Little Liars 100th Episode Madness with tvtag and Jaymie Bailey, founder of All Things PLL! Here we go - mind the spoilers.",ENTERTAINMENT, ENTERTAINMENT
11,"“Blair Witch” and “Bridget Jones’s Baby” both stumbled in their debuts this weekend, earning a meager $9.7 million and $8.2 million, respectively.",ENTERTAINMENT, ENTERTAINMENT
12,"Based on the comic by Garth Ennis, with artwork by Darick Robertson, ""The Boys"" was being developed by ""Anchorman"" director",ENTERTAINMENT, ENTERTAINMENT
13,"If you still haven’t heard of the Mannequin Challenge, I assure you that you will hear someone mention it very soon. Everyone",ENTERTAINMENT, SPORTS
14,"New Orleans Jazz & Heritage Festival headliner Janelle Monáe described her friend and collaborator Prince during an emotional set that included ""Let's Go Crazy"" and ""Take Me With U"" with: ""He was free. He was fearless. He was music. He was rock and roll. He was on beat.""",ENTERTAINMENT, ENTERTAINMENT
15,"One thing people unfamiliar with Iron Man don't realize is, his armor records and analyzes every opponent he's EVER battled",ENTERTAINMENT, ENTERTAINMENT
16,"This is a movie that should appeal to a limited audience, but it is presented with such skill and with such compassion and heart that it should draw in huge numbers of persons wanting to see a real work of art.",ENTERTAINMENT, ENTERTAINMENT
